fi_rate_11,fips,state_name,fi_rate_12,fi_rate_13,fi_rate_18,fi_rate_17,fi_rate_16,fi_rate_15,fi_rate_14,fi_rate_10,fi_rate_09
21.4355355962978,28,Mississippi,22.3050755697126,22.7249401328628,19.31219512195122,20.34512195121951,21.203658536585365,21.930487804878048,22.86829268292683,22.56463414634146,22.3109756097561
17.1200035669794,29,Missouri,17.1210902446169,17.0417084493473,14.190434782608696,14.064347826086957,14.718260869565217,15.260000000000002,15.959130434782608,16.237391304347824,17.210434782608697
14.9288869253526,30,Montana,14.5830286497118,14.2282289086011,10.860714285714286,12.049999999999999,12.653571428571428,12.958928571428572,13.19107142857143,14.194642857142856,13.689285714285715
13.6792788177404,31,Nebraska,13.3708788617777,13.2169058225886,12.017204301075267,11.278494623655915,11.405376344086022,11.798924731182796,12.036559139784947,11.4,11.520430107526883
17.3560085806967,32,Nevada,16.8213703061077,15.8124908606606,12.370588235294118,11.341176470588236,12.13529411764706,12.852941176470589,13.452941176470588,15.794117647058824,14.852941176470589
10.6137639831466,33,New Hampshire,10.9251180039948,10.8201311865347,9.379999999999999,9.11,9.39,9.99,10.36,9.959999999999999,10.45
13.9515743686626,34,New Jersey,12.9942839995984,12.3801329514473,8.757142857142858,9.638095238095238,10.014285714285714,10.447619047619048,11.200000000000001,12.423809523809522,12.766666666666667
20.0641237446115,35,New Mexico,18.5611578403271,17.3079293162044,15.487878787878788,15.963636363636363,15.900000000000002,15.742424242424242,16.05757575757576,17.563636363636363,17.593939393939394
14.657904566802,36,New York,14.0965927843272,13.9428135597516,10.888709677419355,10.904838709677419,11.029032258064515,11.711290322580645,11.91451612903226,12.327419354838709,12.848387096774195
19.2963196122448,37,North Carolina,18.5998402596043,18.2974108606162,15.147,15.419,15.947000000000001,16.743,17.096,18.585,19.279
7.36915365855085,38,North Dakota,7.73839812014385,7.80073901738059,6.466037735849056,6.473584905660378,6.986792452830189,7.00188679245283,7.279245283018868,7.683018867924528,8.235849056603774
17.793839055705,39,Ohio,17.1702301367134,16.869003443839,13.62159090909091,13.456818181818182,13.692045454545456,14.098863636363637,14.575,16.414772727272727,17.586363636363636
17.2443260043233,40,Oklahoma,17.2039571985048,17.0011281452503,15.0012987012987,15.031168831168833,15.37012987012987,15.354545454545454,15.71948051948052,16.536363636363635,17.34935064935065
17.9254978035099,41,Oregon,16.7463679230888,15.7513934247907,13.133333333333333,12.955555555555556,13.577777777777778,14.447222222222223,15.288888888888888,16.391666666666666,17.436111111111114
14.8675111744702,42,Pennsylvania,14.3277693579585,14.1591371276255,10.85223880597015,11.483582089552238,11.983582089552238,12.053731343283582,12.368656716417911,13.22537313432836,13.849253731343284
15.3190995546475,44,Rhode Island,14.6568763734276,14.4401722854064,9.22,10.419999999999998,11.16,11.64,12.459999999999999,13.919999999999998,13.879999999999999
18.5972905798604,45,South Carolina,17.9644318686765,17.0594233648506,12.83695652173913,15.378260869565217,16.08695652173913,17.16521739130435,17.773913043478263,20.40434782608696,21.360869565217392
12.5205986782869,46,South Dakota,12.3428938962314,12.4420477773688,11.343076923076922,12.004615384615384,11.755384615384616,12.347692307692308,12.563076923076924,12.096923076923076,12.238461538461538
17.6031213646975,47,Tennessee,17.0656525784423,17.0539370669051,14.42421052631579,13.32736842105263,14.093684210526316,14.898947368421053,15.549473684210527,16.754736842105263,18.925263157894737
18.745159871704,48,Texas,18.3192479063922,17.5939808061746,15.304330708661418,14.470078740157481,14.861417322834646,15.033858267716536,15.662992125984252,17.421259842519685,17.921653543307087
16.7487688226203,49,Utah,15.5441467004893,14.5963006985486,12.555172413793104,13.413793103448276,13.958620689655174,14.289655172413791,14.479310344827585,16.275862068965516,15.944827586206896
13.0501204442309,50,Vermont,13.3591901739746,13.5662193000654,10.857142857142858,11.5,11.685714285714285,12.25,12.814285714285715,12.864285714285714,13.778571428571428
12.6809956371832,51,Virginia,12.1371383141212,11.8959058302831,11.11127819548872,11.742857142857142,12.034586466165413,12.487969924812031,12.934586466165413,13.425563909774436,14.05187969924812
16.1271430700678,53,Washington,14.9551718918279,14.6010718641261,12.853846153846154,12.423076923076923,13.061538461538461,13.315384615384614,14.15897435897436,15.679487179487179,16.066666666666666
15.2692409683491,54,West Virginia,14.9982780114185,15.7741125511243,14.085454545454546,13.803636363636365,14.0,14.898181818181818,15.227272727272727,15.512727272727274,15.025454545454545
13.0329195851301,55,Wisconsin,12.6496621436372,12.4331478867218,8.95,9.6125,10.233333333333333,10.865277777777777,11.413888888888888,12.484722222222222,13.350000000000001
11.9896226049796,56,Wyoming,13.0045869968009,12.7810825561479,12.256521739130434,11.786956521739132,12.434782608695652,12.034782608695652,12.430434782608694,12.134782608695653,11.917391304347827
